"Company","Item","Calories","Total.Fat..g.","Saturated.Fat..g.","Carbs..g.","Fiber..g.","Sugars..g.","Protein..g.","Salt.g","Category"
"McDonald’s","Sausage McMuffin® with Egg",450,27,10,30,2,2,21,2.3,"Breakfast"
"McDonald’s","Hamburger",250,9,3.5,31,2,6,12,1.3,"Burgers"
"McDonald’s","Cheeseburger",300,12,6,33,2,6,15,1.875,"Burgers"
"McDonald’s","Double Cheeseburger",440,23,11,34,2,7,25,2.875,"Burgers"
"McDonald’s","McDouble",390,19,8,33,2,7,22,2.3,"Burgers"
"McDonald’s"," Quarter Pounder® with Cheese",510,26,12,40,3,9,29,2.975,"Burgers"
"McDonald’s","Double Quarter Pounder® with Cheese",740,42,19,40,3,9,48,3.45,"Burgers"
"McDonald’s","Big Mac®",540,29,10,45,3,9,25,2.6,"Burgers"
"McDonald’s","Big N’ Tasty®",460,24,8,37,3,8,24,1.8,"Burgers"
"McDonald’s","Big N’ Tasty® with Cheese",510,28,11,38,3,8,27,2.4,"Burgers"
"McDonald’s","Angus Bacon & Cheese",790,39,17,63,4,13,45,5.175,"Burgers"
"McDonald’s","Angus Deluxe",750,39,16,61,4,10,40,4.25,"Burgers"
"McDonald’s","Angus Mushroom & Swiss",770,40,17,59,4,8,44,2.925,"Burgers"
"McDonald’s","Filet-O-Fish®",380,18,3.5,38,2,5,15,1.6,"Burgers"
"McDonald’s","McChicken ®",360,16,3,40,2,5,14,2.075,"Burgers"
"McDonald’s","McRib ®",500,26,10,44,3,11,22,2.45,"Burgers"
"McDonald’s","Premium Grilled Chicken Classic Sandwich",360,9,2,41,4,8,27,2.05,"Sandwiches"
"McDonald’s","Premium Crispy Chicken Classic Sandwich",510,22,3.5,56,3,10,24,2.475,"Sandwiches"
"McDonald’s","Premium Grilled Chicken Club Sandwich",460,17,6,43,4,9,35,2.6,"Sandwiches"
"McDonald’s","Premium Crispy Chicken Club Sandwich",620,29,7,57,3,11,31,3,"Sandwiches"
"McDonald’s","Premium Grilled Chicken Ranch BLT Sandwich",380,10,3,41,4,9,31,2.5,"Burgers"
"McDonald’s","Premium Crispy Chicken Ranch BLT Sandwich",540,23,4.5,56,3,11,27,2.9,"Burgers"
"McDonald’s","Southern Style Crispy Chicken Sandwich",400,17,3,39,1,6,24,2.575,"Sandwiches"
"McDonald’s","Ranch Snack Wrap® (Crispy)",340,17,4.5,33,1,2,14,2.025,"Wraps"
"McDonald’s","Ranch Snack Wrap® (Grilled)",270,10,4,26,1,2,18,2.075,"Wraps"
"McDonald’s","Honey Mustard Snack Wrap® (Crispy)",330,16,4.5,34,1,4,14,1.95,"Wraps"
"McDonald’s","Honey Mustard Snack Wrap® (Grilled)",260,9,3.5,27,1,4,18,2,"Wraps"
"McDonald’s","Chipotle BBQ Snack Wrap® (Crispy)",330,15,4.5,35,1,4,14,2.025,"Wraps"
"McDonald’s","Chipotle BBQ Snack Wrap® (Grilled)",260,9,3.5,28,1,5,18,2.075,"Wraps"
"McDonald’s","Angus Bacon & Cheese Snack Wrap",390,21,9,28,1,4,21,2.7,"Burgers"
"McDonald’s","Angus Chipotle BBQ Bacon",800,39,18,66,4,16,45,5.05,"Burgers"
