"Company","Item","Energy..kcal.day.","Fat..g.day.","Saturated.fat..g.day.","Salt..g.day.","Carbohydrate..g.day.","Fibre..g.day..","Free.sugars..g.day.","Protein..g.day."
"McDonald’s","Hamburger",250,9,3.5,1.3,31,2,6,12
"McDonald’s","Cheeseburger",300,12,6,1.875,33,2,6,15
"McDonald’s","Double Cheeseburger",440,23,11,2.875,34,2,7,25
"McDonald’s","McDouble",390,19,8,2.3,33,2,7,22
"McDonald’s"," Quarter Pounder® with Cheese",510,26,12,2.975,40,3,9,29
"McDonald’s","Double Quarter Pounder® with Cheese",740,42,19,3.45,40,3,9,48
"McDonald’s","Big Mac®",540,29,10,2.6,45,3,9,25
"McDonald’s","Big N’ Tasty®",460,24,8,1.8,37,3,8,24
"McDonald’s","Big N’ Tasty® with Cheese",510,28,11,2.4,38,3,8,27
"McDonald’s","Angus Bacon & Cheese",790,39,17,5.175,63,4,13,45
"McDonald’s","Angus Deluxe",750,39,16,4.25,61,4,10,40
"McDonald’s","Angus Mushroom & Swiss",770,40,17,2.925,59,4,8,44
"McDonald’s","Filet-O-Fish®",380,18,3.5,1.6,38,2,5,15
"McDonald’s","McChicken ®",360,16,3,2.075,40,2,5,14
"McDonald’s","McRib ®",500,26,10,2.45,44,3,11,22
"McDonald’s","Premium Grilled Chicken Classic Sandwich",360,9,2,2.05,41,4,8,27
"McDonald’s","Premium Crispy Chicken Classic Sandwich",510,22,3.5,2.475,56,3,10,24
"McDonald’s","Premium Grilled Chicken Club Sandwich",460,17,6,2.6,43,4,9,35
"McDonald’s","Premium Crispy Chicken Club Sandwich",620,29,7,3,57,3,11,31
"McDonald’s","Premium Grilled Chicken Ranch BLT Sandwich",380,10,3,2.5,41,4,9,31
"McDonald’s","Premium Crispy Chicken Ranch BLT Sandwich",540,23,4.5,2.9,56,3,11,27
"McDonald’s","Southern Style Crispy Chicken Sandwich",400,17,3,2.575,39,1,6,24
"McDonald’s","Ranch Snack Wrap® (Crispy)",340,17,4.5,2.025,33,1,2,14
"McDonald’s","Ranch Snack Wrap® (Grilled)",270,10,4,2.075,26,1,2,18
"McDonald’s","Honey Mustard Snack Wrap® (Crispy)",330,16,4.5,1.95,34,1,4,14
"McDonald’s","Honey Mustard Snack Wrap® (Grilled)",260,9,3.5,2,27,1,4,18
"McDonald’s","Chipotle BBQ Snack Wrap® (Crispy)",330,15,4.5,2.025,35,1,4,14
"McDonald’s","Chipotle BBQ Snack Wrap® (Grilled)",260,9,3.5,2.075,28,1,5,18
"McDonald’s","Angus Bacon & Cheese Snack Wrap",390,21,9,2.7,28,1,4,21
"McDonald’s","Angus Chipotle BBQ Bacon",800,39,18,5.05,66,4,16,45
"McDonald’s","Angus Chipotle BBQ Bacon Snack Wrap",400,22,10,2.65,30,1,6,21
"McDonald’s","Angus Deluxe Snack Wrap",410,25,10,2.475,27,2,3,20
"McDonald’s","Angus Mushroom & Swiss Snack Wrap",430,26,10,1.825,27,2,2,22
"McDonald’s","Mac Snack Wrap",330,19,7,1.725,26,1,3,15
"McDonald’s","Small French Fries",230,11,1.5,0.4,29,3,0,3
"McDonald’s","Medium French Fries",380,19,2.5,0.675,48,5,0,4
"McDonald’s","Large French Fries",500,25,3.5,0.875,63,6,0,6
"McDonald’s","Ketchup Packet",15,0,0,0.275,3,0,2,0
"McDonald’s","Salt Packet",0,0,0,0.675,0,0,0,0
"McDonald’s","Chicken McNuggets® (4 piece)",190,12,2,0.9,12,1,0,9
