"Age..years.","Gender","Energy..kcal.day.","Fat..g.day.","Saturated.fat..g.day.","Salt..g.day.","Carbohydrate..g.day.","Fibre..g.day..","Free.sugars..g.day.","Protein..g.day."
"1","Males",765,0,0,2,0,0,0,14.5
"1","Females",717,0,0,2,0,0,0,14.5
"2-3","Males",1088,0,0,2,145,0,15,14.5
"2-3","Females",1004,0,0,2,134,0,13,14.5
"4-6","Males",1482,58,18,3,198,0,20,19.7
"4-6","Females",1378,54,17,3,184,0,18,19.7
"7-10","Males",1817,71,22,5,242,0,24,28.3
"7-10","Females",1703,66,21,5,227,0,23,28.3
"11-14","Males",2500,97,31,6,333,0,33,42.1
"11-14","Females",2000,78,24,6,267,0,27,41.2
"15-18","Males",2500,97,31,6,333,0,33,55.2
"15-18","Females",2000,78,24,6,267,0,27,45
"19 - 64","Males",2500,97,31,6,333,0,33,55.5
"19 - 64","Females",2000,78,24,6,267,0,27,45
"65 - 74","Males",2342,91,29,6,312,0,31,53.3
"65 - 74","Females",1912,74,23,6,255,0,26,46.5
"75+","Males",2294,89,28,6,306,0,31,53.3
"75+","Females",1840,72,23,6,245,0,25,46.5
"}","",0,0,0,0,0,0,0,0
